date, GDP Per Capita (US $), Annual Growth Rate (%), 
1961,3066.5629,1.98,
1962,3243.8431,5.78,
1963,3374.5152,4.03,
1964,3573.9412,5.91,
1965,3827.5271,7.1,
1966,4146.3166,8.33,
1967,4336.4266,4.59,
1968,4695.9234,8.29,
1969,5032.1447,7.16,
1970,5234.2967,4.02,
1971,5609.3826,7.17,
1972,6094.018,8.64,
1973,6726.359,10.38,
1974,7225.6914,7.42,
1975,7801.4567,7.97,
1976,8592.2535,10.14,
1977,9452.5765,10.01,
1978,10564.9482,11.77,
1979,11674.1819,10.5,
1980,12574.7915,7.71,
1981,13976.1054,11.14,
1982,14433.7877,3.27,
1983,15543.8937,7.69,
1984,17121.2255,10.15,
1985,18236.8277,6.52,
1986,19071.2272,4.58,
1987,20038.9411,5.07,
1988,21417.0119,6.88,
1989,22857.1544,6.72,
1990,23888.6,4.51,
1991,24342.2589,1.9,
1992,25418.9908,4.42,
1993,26387.2937,3.81,
1994,27694.8534,4.96,
1995,28690.8757,3.6,
1996,29967.7127,4.45,
1997,31459.139,4.98,
1998,32853.677,4.43,
1999,34515.3902,5.06,
2000,36329.9561,5.26,
2001,37133.6231,2.21,
2002,37997.7597,2.33,
2003,39490.275,3.93,
2004,41724.6316,5.66,
2005,44123.4071,5.75,
2006,46302.0009,4.94,
2007,48050.2238,3.78,
2008,48570.046,1.08,
2009,47194.9434,-2.83,
2010,48650.6431,3.08,
2011,50065.9665,2.91,
2012,51784.4186,3.43,
2013,53291.1277,2.91,
2014,55123.8498,3.44,
2015,56762.7295,2.97,
2016,57866.7449,1.94,
2017,59914.7778,3.54,
2018,62805.2538,4.82,
2019,65094.7994,3.65,
2020,63027.6795,-3.18,
2021,69287.5366,9.93,
