Date,Unemplyment Rate,% Change
1/1/2011,9.1,-2.20
2/1/2011,9,-1.10
3/1/2011,9,0.00
4/1/2011,9.1,1.10
5/1/2011,9,-1.10
6/1/2011,9.1,1.10
7/1/2011,9,-1.10
8/1/2011,9,0.00
9/1/2011,9,0.00
10/1/2011,8.8,-2.20
11/1/2011,8.6,-2.30
12/1/2011,8.5,-1.20
1/1/2012,8.3,-2.40
2/1/2012,8.3,0.00
3/1/2012,8.2,-1.20
4/1/2012,8.2,0.00
5/1/2012,8.2,0.00
6/1/2012,8.2,0.00
7/1/2012,8.2,0.00
8/1/2012,8.1,-1.20
9/1/2012,7.8,-3.70
10/1/2012,7.8,0.00
11/1/2012,7.7,-1.30
12/1/2012,7.9,2.60
1/1/2013,8,1.30
2/1/2013,7.7,-3.80
3/1/2013,7.5,-2.60
4/1/2013,7.6,1.30
5/1/2013,7.5,-1.30
6/1/2013,7.5,0.00
7/1/2013,7.3,-2.70
8/1/2013,7.2,-1.40
9/1/2013,7.2,0.00
10/1/2013,7.2,0.00
11/1/2013,6.9,-4.20
12/1/2013,6.7,-2.90
1/1/2014,6.6,-1.50
2/1/2014,6.7,1.50
3/1/2014,6.7,0.00
4/1/2014,6.2,-7.50
5/1/2014,6.3,1.60
6/1/2014,6.1,-3.20
7/1/2014,6.2,1.60
8/1/2014,6.1,-1.60
9/1/2014,5.9,-3.30
10/1/2014,5.7,-3.40
11/1/2014,5.8,1.80
12/1/2014,5.6,-3.40
1/1/2015,5.7,1.80
2/1/2015,5.5,-3.50
3/1/2015,5.4,-1.80
4/1/2015,5.4,0.00
5/1/2015,5.6,3.70
6/1/2015,5.3,-5.40
7/1/2015,5.2,-1.90
8/1/2015,5.1,-1.90
9/1/2015,5,-2.00
10/1/2015,5,0.00
11/1/2015,5.1,2.00
12/1/2015,5,-2.00
1/1/2016,4.8,-4.00
2/1/2016,4.9,2.10
3/1/2016,5,2.00
4/1/2016,5.1,2.00
5/1/2016,4.8,-5.90
6/1/2016,4.9,2.10
7/1/2016,4.8,-2.00
8/1/2016,4.9,2.10
9/1/2016,5,2.00
10/1/2016,4.9,-2.00
11/1/2016,4.7,-4.10
12/1/2016,4.7,0.00
1/1/2017,4.7,0.00
2/1/2017,4.6,-2.10
3/1/2017,4.4,-4.30
4/1/2017,4.4,0.00
5/1/2017,4.4,0.00
6/1/2017,4.3,-2.30
7/1/2017,4.3,0.00
8/1/2017,4.4,2.30
9/1/2017,4.3,-2.30
10/1/2017,4.2,-2.30
11/1/2017,4.2,0.00
12/1/2017,4.1,-2.40
1/1/2018,4,-2.40
2/1/2018,4.1,2.50
3/1/2018,4,-2.40
4/1/2018,4,0.00
5/1/2018,3.8,-5.00
6/1/2018,4,5.30
7/1/2018,3.8,-5.00
8/1/2018,3.8,0.00
9/1/2018,3.7,-2.60
10/1/2018,3.8,2.70
11/1/2018,3.8,0.00
12/1/2018,3.9,2.60
1/1/2019,4,2.60
2/1/2019,3.8,-5.00
3/1/2019,3.8,0.00
4/1/2019,3.6,-5.30
5/1/2019,3.6,0.00
6/1/2019,3.6,0.00
7/1/2019,3.7,2.80
8/1/2019,3.7,0.00
9/1/2019,3.5,-5.40
10/1/2019,3.6,2.90
11/1/2019,3.6,0.00
12/1/2019,3.6,0.00
1/1/2020,3.5,-2.80
2/1/2020,3.5,0.00
3/1/2020,4.4,25.70
4/1/2020,14.7,234.10
5/1/2020,13.2,-10.20
6/1/2020,11,-16.70
7/1/2020,10.2,-7.30
8/1/2020,8.4,-17.60
9/1/2020,7.9,-6.00
10/1/2020,6.9,-12.70
11/1/2020,6.7,-2.90
12/1/2020,6.7,0.00
1/1/2021,6.4,-4.50
2/1/2021,6.2,-3.10
3/1/2021,6,-3.20
4/1/2021,6,0.00
5/1/2021,5.8,-3.30
6/1/2021,5.9,1.70
7/1/2021,5.4,-8.50
8/1/2021,5.2,-3.70
9/1/2021,4.7,-9.60
10/1/2021,4.6,-2.10
11/1/2021,4.2,-8.70
12/1/2021,3.9,-7.10
1/1/2022,4,2.60
2/1/2022,3.8,-5.00
3/1/2022,3.6,-5.30
4/1/2022,3.6,0.00
5/1/2022,3.6,0.00
6/1/2022,3.6,0.00
7/1/2022,3.5,-2.80
8/1/2022,3.7,5.70
9/1/2022,3.5,-5.40
 ,,
 ,,
 ,,
 ,,
